image,lat,lng
beswick,53.4777944844473,-2.20128637969155
leigh,53.4961703235405,-2.51900120100849
manchester,53.4806901230531,-2.24323726482948
manchester-airport,53.358753073225,-2.27304033730476
old-trafford,53.4621448263398,-2.27698024054462
oldham,53.5410046040135,-2.111440303332
rochdale,53.6097219541693,-2.15632130164893
salford,53.4875481303985,-2.29016902626987
stalybridge,53.4838114064027,-2.05022287268596
